index,Arrival RN,Service,Arrival,Start,End,Waiting,System,Idle
0,0,3,0,0,3,0,3,0
1,3,2,3,3,5,0,2,0
2,5,3,8,8,11,0,3,3
3,4,3,12,12,15,0,3,1
4,3,3,15,15,18,0,3,0
5,3,1,18,18,19,0,1,0
6,3,1,21,21,22,0,1,2
7,3,2,24,24,26,0,2,2
8,1,1,25,26,27,1,2,0
9,2,1,27,27,28,0,1,0
10,3,3,30,30,33,0,3,2
11,1,1,31,33,34,2,3,0
12,3,1,34,34,35,0,1,0
13,1,2,35,35,37,0,2,0
14,1,2,36,37,39,1,3,0
15,4,2,40,40,42,0,2,1
16,5,2,45,45,47,0,2,3
17,1,1,46,47,48,1,2,0
18,5,3,51,51,54,0,3,3
19,5,3,56,56,59,0,3,2
Total,,,,,,5,45,19
